# 展示写法补充：CSpell / ESDB 里同一编码先出现全小写写法时（vscode / typescript），候选该出专名写法。
# 只收没有普通词义的专名：windows / rust / python 也是普通英文词（the windows），不改。
# 由 dict-convert english 作为**最后一个输入**读入：后面的文件覆盖前面同编码的写法，不动其它词的顺序。
word	key
VSCode	vscode
TypeScript	typescript
JavaScript	javascript
Bilibili	bilibili
LinkedIn	linkedin
YouTube	youtube
GitHub	github
ChatGPT	chatgpt
OpenAI	openai
iPhone	iphone
iOS	ios
macOS	macos
TikTok	tiktok
NVIDIA	nvidia
